Date,Close,High,Low,Open,Volume,Shares Bought,Cumulative Shares,Investment,Portfolio Value
2015-01-31,314.2489929199219,320.4349975585937,314.00299072265625,320.4349975585937,8036550,0.15910949955770007,0.15910949955770007,50,50.0
2015-02-28,226.9720001220703,231.57400512695312,212.01499938964844,216.86700439453125,29128500,0.22029148958069256,0.3794009891383926,100,86.11340135303284
2015-03-31,260.2019958496094,261.6600036621094,245.93299865722656,254.2830047607422,25213700,0.19215840307734927,0.5715593922157418,150,148.7208946011257
2015-04-30,247.27200317382807,247.5410003662109,241.16000366210935,244.22300720214844,22877200,0.20220647448247847,0.7737658666982203,200,191.33063584600217
2015-05-31,232.07899475097656,238.96600341796875,232.07899475097656,235.93899536132807,18815300,0.2154438838967334,0.9892097505949538,250,229.5748045159411
2015-06-30,222.92599487304688,231.71299743652344,221.29600524902344,230.2330017089844,26090500,0.22428967975885575,1.2134994303538096,300,270.52056778949867
2015-07-31,258.6210021972656,265.1719970703125,255.7740020751953,263.3450012207031,27029800,0.19333309969103757,1.4068325300448472,350,363.8364388439132
2015-08-31,281.6010131835937,284.9320068359375,278.11199951171875,284.6860046386719,18995000,0.17755617934301182,1.584388709387859,400,446.1654658402675
2015-09-30,228.1210021972656,231.21600341796875,226.8600006103516,230.2559967041016,20575200,0.21918192327054106,1.8035706326584,450,411.4323402555906
2015-10-31,237.5489959716797,238.44500732421875,235.61599731445312,236.0039978027344,20488800,0.21048289341522178,2.0140535260736216,500,478.43639295201
2015-11-30,325.4309997558594,327.47198486328125,311.8810119628906,315.0050048828125,37001100,0.1536424005012133,2.167695926574835,550,705.4354525519524
2015-12-31,362.4880065917969,378.9309997558594,356.56298828125,377.41400146484375,60452200,0.13793559811843856,2.3056315246932733,600,835.7637753212699
2016-01-31,434.3340148925781,436.2460021972656,427.5150146484375,430.7210083007813,36278900,0.11511877560951858,2.420750300302792,650,1051.414196982926
2016-02-29,373.0559997558594,378.0719909667969,367.9570007324219,369.3500061035156,51656700,0.13402813527385088,2.554778435576643,700,953.0754234387549
2016-03-31,435.12298583984375,439.6530151367188,432.3190002441406,437.9169921875,74895800,0.11491004067158972,2.6696884762482327,750,1161.642821047354
2016-04-30,417.9599914550781,418.1730041503906,415.83099365234375,416.760009765625,51235700,0.11962867504597971,2.7893171512942123,800,1165.8229727204318
2016-05-31,451.875,452.47900390625,447.927001953125,448.4840087890625,40660100,0.11065006915629322,2.8999672204505056,850,1310.4226877410722
2016-06-30,536.9199829101562,543.0800170898438,525.635986328125,531.1069946289062,86061800,0.09312374579354515,2.9930909662440506,900,1607.0503504442986
2016-07-31,676.2960205078125,686.1539916992188,669.593994140625,672.5150146484375,134431008,0.07393212215333804,3.067023088397389,950,2074.215509488735
2016-08-31,606.27197265625,626.1190185546875,605.8839721679688,624.6019897460938,121887000,0.082471237753142,3.149494326150531,1000,1909.4501379849492
2016-09-30,572.302978515625,576.3109741210938,571.8140258789062,575.5460205078125,76923400,0.08736631098738008,3.236860637137911,1050,1852.46498367401
2016-10-31,613.9829711914062,615.2369995117188,609.9290161132812,609.9290161132812,56357000,0.08143548330498036,3.3182961204428914,1100,2037.377311322443
2016-11-30,729.7930297851562,736.4520263671875,701.3369750976562,701.3369750976562,130527000,0.0685125754280217,3.386808695870913,1150,2471.6693794623475
2016-12-31,756.7739868164062,758.2750244140625,746.0460205078125,746.0460205078125,80461904,0.06606992427202711,3.4528786201429402,1200,2613.0487193587046
2017-01-31,998.3250122070312,1003.0800170898438,958.698974609375,963.6580200195312,147775008,0.050083889904213946,3.502962510047154,1250,3497.095090603598
2017-02-28,989.0230102539062,989.114013671875,970.7420043945312,970.9409790039062,150110000,0.050554941069736875,3.5535174511168908,1300,3514.5105264934155
2017-03-31,1222.5,1222.5,1179.68994140625,1180.0400390625,229056992,0.0408997955010225,3.594417246617913,1350,4394.175083990399
2017-04-30,1080.5,1091.719970703125,1061.0899658203125,1071.7099609375,289633984,0.04627487274409996,3.640692119362013,1400,3933.7678349706553
2017-05-31,1421.5999755859375,1434.3199462890625,1348.300048828125,1348.300048828125,713624000,0.035171638195471706,3.675863757557485,1450,5225.607828000953
2017-06-30,2407.8798828125,2448.389892578125,2288.330078125,2288.330078125,1653180032,0.02076515542029364,3.6966289129777783,1500,8901.038393782232
2017-07-31,2434.550048828125,2515.27001953125,2419.22998046875,2492.60009765625,779913984,0.02053767595538551,3.7171665889331638,1550,9049.628100589509
2017-08-31,2718.260009765625,2921.35009765625,2685.610107421875,2871.300048828125,1324669952,0.01839411970170989,3.7355607086348734,1600,10154.225288333917
2017-09-30,4892.009765625,4892.009765625,4678.52978515625,4701.759765625,2599079936,0.010220748198692942,3.7457814568335666,1650,18324.399466726845
2017-10-31,4403.740234375,4403.740234375,4269.81005859375,4341.0498046875,1208210048,0.011353984871702189,3.7571354417052687,1700,16545.448510633778
2017-11-30,6767.31005859375,6767.31005859375,6377.8798828125,6440.97021484375,2870320128,0.007388460047948508,3.764523901753217,1750,25475.700466151135
2017-12-31,10975.599609375,11046.7001953125,9694.650390625,10198.599609375,6783119872,0.004555559767075653,3.7690794615202927,1800,41367.90706556546
2018-01-31,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,0.003661072495456373,3.772740534015749,1850,51525.07275802328
2018-02-28,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,0.005452241611401489,3.7781927756271507,1900,34648.06812418547
2018-03-31,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,0.004565793078257693,3.7827585687054084,1950,41424.98908589293
2018-04-30,6844.22998046875,7060.9501953125,6526.8701171875,7003.06005859375,4532100096,0.007305423713505253,3.7900639924189137,2000,25940.069604808614
2018-05-31,9119.009765625,9255.8798828125,8891.0498046875,9251.4697265625,7713019904,0.005483051480927227,3.795547043899841,2050,34611.63055921175
2018-06-30,7541.4501953125,7604.72998046875,7407.33984375,7500.7001953125,4921460224,0.006630024558284326,3.8021770684581253,2100,28673.928995536236
2018-07-31,6385.81982421875,6432.85009765625,6289.2900390625,6411.68017578125,4788259840,0.007829848222521228,3.8100069166806465,2150,24330.01769894983
2018-08-31,7624.91015625,7769.0400390625,7504.9501953125,7769.0400390625,4797620000,0.006557454314267023,3.8165643709949135,2200,29100.96043438101
2018-09-30,7193.25,7242.2900390625,7038.0498046875,7044.81005859375,4116050000,0.006950960970354151,3.8235153319652677,2250,27503.501661659164
2018-10-31,6589.6201171875,6653.2998046875,6549.080078125,6619.85009765625,4000970000,0.007587690809305769,3.8311030227745735,2300,25245.51354989317
2018-11-30,6377.77978515625,6547.14013671875,6311.830078125,6318.14013671875,3789400000,0.007839718786837204,3.838942741561411,2350,24483.93141350268
2018-12-31,4214.671875,4309.37744140625,3969.710693359375,4024.46435546875,5375314093,0.011863319727588521,3.850806061288999,2400,16229.884002594272
2019-01-31,3843.52001953125,3850.913818359375,3707.231201171875,3746.71337890625,4324200990,0.013008908434435038,3.863814969723434,2450,14850.65018789655
2019-02-28,3487.9453125,3501.9541015625,3431.591552734375,3460.547119140625,5422926707,0.01433508714165082,3.878150056865085,2500,13526.77531201418
2019-03-31,3859.583740234375,3907.79541015625,3851.6923828125,3853.757080078125,7661247975,0.012954764908654041,3.8911048217737387,2550,15018.044901665498
2019-04-30,4158.18310546875,4164.953125,4096.9013671875,4105.3623046875,10157794171,0.012024482503966963,3.9031293042777055,2600,16229.926331507551
2019-05-31,5402.697265625,5418.00390625,5347.64599609375,5350.91455078125,13679528236,0.009254636627176602,3.912383940904882,2650,21137.426019601968
2019-06-30,8564.0166015625,8625.6005859375,8481.578125,8573.83984375,22488303544,0.005838381956298115,3.91822232286118,2700,33555.72102159593
2019-07-31,10583.134765625,11206.439453125,10089.314453125,10796.9306640625,29378589324,0.004724498091284316,3.9229468209524643,2750,41517.074884520094
2019-08-31,10399.6689453125,10446.919921875,9922.01953125,10077.4423828125,17165337858,0.004807845351898127,3.9277546663043625,2800,40847.34822797174
2019-09-30,9757.970703125,9796.755859375,9582.9443359375,9630.5927734375,11445355859,0.005124016203900617,3.9328786825082633,2850,38376.91496286048
2019-10-31,8343.2763671875,8497.6923828125,8232.6796875,8299.720703125,15305343413,0.005992849547288207,3.9388715320555514,2900,32863.093766786704
2019-11-30,9261.1044921875,9275.6572265625,9132.0478515625,9193.9921875,24324691031,0.005398924074572217,3.944270456130124,2950,36528.30083966913
2019-12-31,7424.29248046875,7571.6162109375,7291.341796875,7571.6162109375,18720708479,0.006734648470751402,3.9510051046008754,3000,29333.417488381925
2020-01-31,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997,0.0069442763192650026,3.9579493809201405,3050,28497.925478137215
2020-02-29,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,0.0053231837962285245,3.963272564716369,3100,37226.52379131027
2020-03-31,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,0.005839447360176315,3.9691120120765455,3150,33985.339427365805
2020-04-30,6606.7763671875,6612.57373046875,6202.37353515625,6437.3193359375,40346426266,0.00756798735436613,3.9766799994309117,3200,26273.03544010735
2020-05-31,8864.7666015625,9048.0234375,8667.763671875,8672.7822265625,44068389997,0.00564030642286589,3.9823203058537775,3250,35302.34004405673
2020-06-30,10167.2685546875,10199.5654296875,9450.8994140625,9463.60546875,35198901068,0.004917741646250515,3.987238047500028,3300,40539.32002040062
2020-07-31,9228.3251953125,9309.7548828125,9104.7353515625,9145.9853515625,15971550355,0.005418101220078087,3.992656148720106,3350,36845.52933345313
2020-08-31,11759.5927734375,11794.775390625,11239.6826171875,11322.5703125,26075670303,0.004251847913725355,3.9969079966338317,3400,47002.01039330976
2020-09-30,11970.478515625,12067.0810546875,11601.12890625,11679.31640625,27311555343,0.0041769424618017794,4.001084939095634,3450,47894.901302635044
2020-10-31,10619.4521484375,10933.6240234375,10472.3564453125,10795.2548828125,40023134100,0.004708340816560559,4.0057932799121945,3500,42539.33005256005
2020-11-30,13737.109375,13862.033203125,13628.3779296875,13780.9951171875,24453857900,0.0036397759262945376,4.009433055838489,3550,55078.02041979381
2020-12-31,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712,0.0026591504118307265,4.01209220625032,3600,75439.36191800717
2021-01-31,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359,0.0017021767782394784,4.01379438302856,3650,117901.80768356896
2021-02-28,33537.17578125,34638.21484375,32384.228515625,33114.578125,61400400660,0.0014908828437472082,4.015285265872307,3700,134661.3277734227
2021-03-31,49631.2421875,49784.015625,45115.09375,45159.50390625,53891300112,0.0010074299533166405,4.016292695825624,3750,199333.5954824088
2021-04-30,59095.80859375,59586.0703125,58505.27734375,58926.5625,61669163792,0.0008460836934091468,4.0171387795190325,3800,237396.06440898724
2021-05-31,57828.05078125,58448.33984375,57052.2734375,57714.6640625,42836427360,0.0008646322904629505,4.018003411809495,3850,232353.30533735524
2021-06-30,36684.92578125,37896.734375,35787.0859375,37293.79296875,34639423297,0.0013629576436421592,4.019366369453137,3900,147450.1569510406
2021-07-31,33572.1171875,35035.984375,32883.78125,35035.984375,37838957079,0.0014893311530145808,4.020855700606152,3950,134988.63877477715
2021-08-31,39974.89453125,42541.6796875,39540.94140625,41460.84375,26688438115,0.0012507850386174995,4.02210648564477,4000,160783.28255710626
2021-09-30,48847.02734375,49111.08984375,46562.4375,47099.7734375,39139399125,0.001023603742519196,4.023130089387289,4050,196517.94548376428
2021-10-31,48116.94140625,48436.01171875,43320.0234375,43816.7421875,42850641582,0.0010391350434735946,4.0241692244307625,4100,193630.71478076951
2021-11-30,61004.40625,62419.00390625,59695.18359375,61320.44921875,36150572843,0.000819612927549803,4.024988837358312,4150,245542.05418592165
2021-12-31,57229.828125,59041.68359375,56553.08203125,56907.96484375,36858195307,0.000873670280658387,4.02586250763897,4200,230399.41936705975
2022-01-31,47686.8125,47827.3125,46288.484375,46311.74609375,24582667004,0.0010485079077155765,4.026911015546686,4250,192030.5505525594
2022-02-28,38743.2734375,39115.1328125,38113.6640625,38481.765625,20288500328,0.0012905466049650957,4.028201562151651,4300,156065.71458380605
2022-03-31,44354.63671875,44793.6015625,42952.5859375,43194.50390625,32479047645,0.0011272778608704857,4.029328840012521,4350,178719.41691913773
2022-04-30,46281.64453125,46616.2421875,44403.140625,45554.1640625,38162644287,0.0010803419045803204,4.0304091819171015,4400,186533.9650729734
2022-05-31,38469.09375,38627.859375,37585.7890625,37713.265625,27002760110,0.0012997446814041467,4.0317089265985055,4450,155096.18867002978
2022-06-30,29799.080078125,31957.28515625,29501.587890625,31792.5546875,41135817341,0.001677904145662005,4.033386830744168,4500,120191.21715540026
2022-07-31,19269.3671875,20632.671875,19073.708984375,19820.470703125,30767551159,0.002594792009175833,4.035981622753344,4550,77770.81185083628
2022-08-31,23314.19921875,23464.787109375,22890.796875,23336.71875,25849159141,0.0021446157996191633,4.038126238552962,4600,94145.67959608535
2022-09-30,20127.140625,20198.390625,19653.96875,20050.498046875,30182031010,0.002484207813299362,4.040610446366261,4650,81325.93466485776
2022-10-31,19312.095703125,19471.154296875,19231.08203125,19431.10546875,18719537670,0.002589050964153477,4.043199497330415,4700,78082.65563927186
2022-11-30,20485.2734375,20647.2890625,20359.845703125,20494.8984375,39819303159,0.0024407777690909817,4.0456402750995055,4750,82876.0472651761
2022-12-31,16967.1328125,17197.498046875,16888.388671875,17168.001953125,22895392882,0.0029468738503163057,4.048587148949822,4800,68692.91585921234
2023-01-31,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700,0.003007504310658278,4.05159465326048,4850,67358.08555455858
2023-02-28,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504,0.0021075908672160124,4.053702244127696,4900,96169.09778799639
2023-03-31,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200,0.002114473288833582,4.05581671741653,4950,95906.07596783266
2023-04-30,28411.03515625,28802.45703125,28297.171875,28473.33203125,10876469901,0.0017598795582427329,4.057576596974773,5000,115279.9513458275
2023-05-31,28091.568359375,29329.935546875,27680.79296875,29227.103515625,18655599976,0.0017798935025752486,4.059356490477348,5050,114033.69034731701
2023-06-30,26819.97265625,27346.10546875,26671.720703125,27218.412109375,14678970415,0.001864282288458942,4.0612207727658065,5100,108921.83007657343
2023-07-31,30590.078125,30641.2890625,30328.865234375,30471.84765625,9086606733,0.0016345169108651957,4.062855289676672,5150,124283.0607217789
2023-08-31,29675.732421875,29675.732421875,28657.0234375,29230.873046875,18272392391,0.0016848783810688118,4.064540168057741,5200,120618.20644524437
2023-09-30,25800.724609375,26125.869140625,25362.609375,25934.021484375,17202862221,0.0019379300681280829,4.066478098125869,5250,104918.08153980057
2023-10-31,27983.75,28047.23828125,26965.09375,26967.396484375,9503917434,0.0017867512395586724,4.068264849365428,5300,113845.30647842979
2023-11-30,35437.25390625,35527.9296875,34170.69140625,34657.2734375,22446272005,0.0014109445424940672,4.069675793907922,5350,144218.13442483457
2023-12-31,38688.75,38954.109375,37629.359375,37718.0078125,23512784002,0.0012923653516849214,4.070968159259607,5400,157500.66937155512
2024-01-31,44167.33203125,44175.4375,42214.9765625,42280.234375,18426978443,0.001132058417398252,4.072100217677005,5450,179853.80237866568
2024-02-29,43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779,0.0011607452637512495,4.073260962940757,5500,175458.86639144912
2024-03-31,62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423,0.0008007606224962936,4.074061723563253,5550,254386.99213647397
2024-04-30,69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352,0.000717338003502627,4.074779061566756,5600,284020.85499934293
2024-05-31,58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271,0.0008583099862958741,4.075637371553052,5650,237422.22720382694
2024-06-30,67706.9375,67839.765625,67386.1953125,67489.609375,11641495604,0.0007384767624440257,4.076375848315496,5700,275998.92478840676
2024-07-31,62851.98046875,63777.2265625,62495.51171875,62673.60546875,25468379421,0.0007955198806322419,4.077171368196128,5750,256258.29520160973
2024-08-31,65357.5,65593.2421875,62248.94140625,64625.83984375,40975554494,0.000765023141950044,4.077936391338078,5800,266523.7276968784
2024-09-30,57325.48828125,59062.0703125,57217.82421875,58969.80078125,24592449997,0.0008722123700837971,4.078808603708161,5850,233819.69481333386
2024-10-31,60837.0078125,64110.98046875,60189.27734375,63335.60546875,50220923500,0.0008218681654117553,4.079630471873573,5900,248192.51088948562
2024-11-30,69482.46875,71559.015625,68779.703125,70216.8984375,49989795365,0.0007196059797457901,4.080350077853319,5950,283512.7967735033
2024-12-31,97279.7890625,97888.125,95770.1875,96461.3359375,36590695296,0.0005139813776515918,4.08086405923097,6000,396985.5948747263
2025-01-31,94419.7578125,94929.8671875,92788.125,93425.1015625,24519888919,0.0005295501826989501,4.081393609413669,6050,385364.19613832387
2025-02-28,100655.90625,102755.7265625,100297.7109375,102402.796875,27757944848,0.0004967418392301246,4.081890351252899,6100,410866.3725184914
2025-03-31,86031.9140625,86522.3046875,83794.234375,84373.8671875,29190628396,0.0005811796766915621,4.082471530929591,6150,351222.83991153736
2025-04-30,85169.171875,85487.3671875,82429.359375,82551.921875,28175650319,0.000587066879943172,4.083058597809534,6200,347750.7194925367
